tick,cur_x,cur_y,cur_yaw,target_x,target_y,target_yaw,force_x,force_y,v_cmd,w_cmd,cur_v
329, 0.2488, 8.4514, -1.4176, 0.0000, 0.0000, 0.0000, -0.0071, 0.6200, 0.2000, 0.6000, 0.2000
330, 0.2491, 8.4494, -1.4142, 0.0000, 0.0000, 0.0000, -0.0061, 0.6289, 0.2000, -0.6000, 0.2000
331, 0.2491, 8.4494, -1.4142, 0.0000, 0.0000, 0.0000, -0.0061, 0.6289, 0.2000, 0.6000, 0.2000
332, 0.2494, 8.4472, -1.4084, 0.0000, 0.0000, 0.0000, -0.0061, 0.6289, 0.2000, -0.6000, 0.2000
333, 0.2494, 8.4472, -1.4084, 0.0000, 0.0000, 0.0000, -0.0062, 0.7624, 0.2000, 0.6000, 0.2000
334, 0.2494, 8.4472, -1.4084, 0.0000, 0.0000, 0.0000, -0.0062, 0.7624, 0.2000, -0.6000, 0.2000
335, 0.2498, 8.4450, -1.4106, 0.0000, 0.0000, 0.0000, -0.0049, 0.6243, 0.2000, 0.6000, 0.2000
336, 0.2498, 8.4450, -1.4106, 0.0000, 0.0000, 0.0000, -0.0049, 0.6243, 0.2000, -0.6000, 0.2000
337, 0.2498, 8.4450, -1.4106, 0.0000, 0.0000, 0.0000, -0.0049, 0.6243, 0.2000, 0.6000, 0.2000
338, 0.2502, 8.4428, -1.4169, 0.0000, 0.0000, 0.0000, -0.0050, 0.0403, 0.2000, -0.6000, 0.2000
339, 0.2502, 8.4428, -1.4169, 0.0000, 0.0000, 0.0000, -0.0050, 0.0403, 0.2000, 0.6000, 0.2000
340, 0.2505, 8.4406, -1.4147, 0.0000, 0.0000, 0.0000, -0.0050, 0.0403, 0.2000, -0.6000, 0.2000
341, 0.2505, 8.4406, -1.4147, 0.0000, 0.0000, 0.0000, -0.0085, 0.5747, 0.2000, 0.6000, 0.2000
342, 0.2505, 8.4406, -1.4147, 0.0000, 0.0000, 0.0000, -0.0085, 0.5747, 0.2000, -0.6000, 0.2000
343, 0.2508, 8.4384, -1.4170, 0.0000, 0.0000, 0.0000, -0.0063, 0.4302, 0.2000, 0.6000, 0.2000
344, 0.2508, 8.4384, -1.4170, 0.0000, 0.0000, 0.0000, -0.0063, 0.4302, 0.2000, -0.6000, 0.2000
345, 0.2508, 8.4384, -1.4170, 0.0000, 0.0000, 0.0000, -0.0063, 0.4302, 0.2000, 0.6000, 0.2000
346, 0.2512, 8.4362, -1.4234, 0.0000, 0.0000, 0.0000, -0.0014, 0.8442, 0.2000, -0.6000, 0.2000
347, 0.2512, 8.4362, -1.4234, 0.0000, 0.0000, 0.0000, -0.0014, 0.8442, 0.2000, 0.6000, 0.2000
348, 0.2515, 8.4340, -1.4212, 0.0000, 0.0000, 0.0000, -0.0014, 0.8442, 0.2000, -0.6000, 0.2000
349, 0.2515, 8.4340, -1.4212, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
350, 0.2515, 8.4340, -1.4212, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
351, 0.2518, 8.4318, -1.4235, 0.0000, 0.0000, 0.0000, -0.0037, -0.3510, 0.2000, 0.6000, 0.2000
352, 0.2518, 8.4318, -1.4235, 0.0000, 0.0000, 0.0000, -0.0037, -0.3510, 0.2000, -0.6000, 0.2000
353, 0.2518, 8.4318, -1.4235, 0.0000, 0.0000, 0.0000, -0.0037, -0.3510, 0.2000, 0.6000, 0.2000
354, 0.2521, 8.4296, -1.4298, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
355, 0.2521, 8.4296, -1.4298, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
356, 0.2521, 8.4296, -1.4298, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
357, 0.2524, 8.4274, -1.4276, 0.0000, 0.0000, 0.0000, -0.0003, 0.1183, 0.2000, 0.6000, 0.2000
358, 0.2524, 8.4274, -1.4276, 0.0000, 0.0000, 0.0000, -0.0003, 0.1183, 0.2000, -0.6000, 0.2000
359, 0.2524, 8.4274, -1.4276, 0.0000, 0.0000, 0.0000, -0.0003, 0.1183, 0.2000, 0.6000, 0.2000
360, 0.2528, 8.4252, -1.4299, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
361, 0.2528, 8.4252, -1.4299, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
362, 0.2531, 8.4230, -1.4277, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
363, 0.2531, 8.4230, -1.4277, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
364, 0.2531, 8.4230, -1.4277, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
365, 0.2534, 8.4208, -1.4215, 0.0000, 0.0000, 0.0000, -0.0025, -0.3610, 0.2000, 0.6000, 0.2000
366, 0.2534, 8.4208, -1.4215, 0.0000, 0.0000, 0.0000, -0.0025, -0.3610, 0.2000, -0.6000, 0.2000
367, 0.2534, 8.4208, -1.4215, 0.0000, 0.0000, 0.0000, -0.0025, -0.3610, 0.2000, 0.6000, 0.2000
368, 0.2537, 8.4186, -1.4237, 0.0000, 0.0000, 0.0000, -0.0007, 0.1755, 0.2000, -0.6000, 0.2000
369, 0.2537, 8.4186, -1.4237, 0.0000, 0.0000, 0.0000, -0.0007, 0.1755, 0.2000, 0.6000, 0.2000
370, 0.2541, 8.4164, -1.4215, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
371, 0.2541, 8.4164, -1.4215, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
